date,item,low,high
2026-08-04,Cisalpin Backpack Black,4898,4898
2026-08-05,Goyard Cisalpin Backpack Black,4898,4898
2026-08-05,Goyard Saint Sulpice Green,629,629
2026-08-05,Goyard Jouvence Toiletry Bag PM Green,1411,1411
2026-08-05,Goyard Saint Sulpice Black,583,583
2026-08-05,Goyard Cisalpin Backpack Navy Blue,5551,5551
2026-08-05,Goyard Belvedere PM Black,3100,3100
2026-08-05,Goyard Saint Sulpice Sky Blue,572,572
2026-08-05,Goyard Cisalpin Backpack Green,5356,5356
2026-08-05,Goyard Saint Louis Tote PM Sky Blue,2224,2224
2026-08-05,Goyard Saint Pierre Card Holder Green,1167,1167
2026-08-05,Goyard Saint Louis Tote PM Green,2221,2221
2026-08-05,Goyard Saint-Sulpice Card Wallet Gray,635,635
