date,brand,listing_count
2026-08-04,Hermès,168
2026-08-04,Rolex,13
2026-08-04,Chanel,12
2026-08-04,Cartier,4
2026-08-04,Fendi,1
2026-08-04,Amina Muaddi,1
2026-08-04,Dior,1
2026-08-05,Chanel,10
2026-08-05,Rolex,7
2026-08-05,Hermès,3
2026-08-05,Cartier,2
2026-08-05,Fendi,1
2026-08-05,Amina Muaddi,1
2026-08-06,Chanel,10
2026-08-06,Rolex,7
2026-08-06,Hermès,3
2026-08-06,Cartier,2
2026-08-06,Fendi,1
2026-08-06,Amina Muaddi,1
2026-08-07,Chanel,10
2026-08-07,Rolex,7
2026-08-07,Hermès,3
2026-08-07,Cartier,2
2026-08-07,Fendi,1
2026-08-07,Amina Muaddi,1
2026-08-08,Chanel,10
2026-08-08,Rolex,7
2026-08-08,Hermès,3
2026-08-08,Cartier,2
2026-08-08,Fendi,1
2026-08-08,Amina Muaddi,1
2026-08-09,Chanel,10
2026-08-09,Rolex,7
2026-08-09,Hermès,3
2026-08-09,Cartier,2
2026-08-09,Fendi,1
2026-08-09,Amina Muaddi,1
2026-08-10,Chanel,10
2026-08-10,Rolex,7
2026-08-10,Hermès,3
2026-08-10,Cartier,2
2026-08-10,Fendi,1
2026-08-10,Amina Muaddi,1
