date,brand,low_price,listings
2026-08-07,Hermès,100,260128
2026-08-07,Chanel,100,199611
2026-08-07,Louis Vuitton,100,634021
2026-08-07,Goyard,100,6808
2026-08-07,Dior,100,111968
2026-08-07,Fendi,100,96328
2026-08-07,Cartier,100,78031
2026-08-07,Rolex,100,139358
2026-08-07,The Row,100,5166
2026-08-08,Hermès,100,262586
2026-08-08,Chanel,100,199548
2026-08-08,Louis Vuitton,100,636438
2026-08-08,Goyard,100,6805
2026-08-08,Dior,100,111196
2026-08-08,Fendi,100,96909
2026-08-08,Cartier,100,78518
2026-08-08,Rolex,100,139208
2026-08-08,The Row,100,5264
2026-08-09,Hermès,100,258635
2026-08-09,Chanel,100,199818
2026-08-09,Louis Vuitton,100,632362
2026-08-09,Goyard,100,6720
2026-08-09,Dior,100,112830
2026-08-09,Fendi,100,94460
2026-08-09,Cartier,100,79099
2026-08-09,Rolex,100,139208
2026-08-09,The Row,100,5259
2026-08-10,Hermès,100,258543
2026-08-10,Chanel,100,200836
2026-08-10,Louis Vuitton,100,636042
2026-08-10,Goyard,100,6760
2026-08-10,Dior,100,111229
2026-08-10,Fendi,100,92969
2026-08-10,Cartier,100,78806
2026-08-10,Rolex,100,140552
2026-08-10,The Row,100,5204
2026-08-11,Hermès,100,256743
2026-08-11,Chanel,100,199552
2026-08-11,Louis Vuitton,100,634869
2026-08-11,Goyard,100,6264
2026-08-11,Dior,100,109342
2026-08-11,Fendi,100,92145
2026-08-11,Cartier,100,78854
2026-08-11,Rolex,100,141713
2026-08-11,The Row,100,5222
2026-08-12,Hermès,100,256932
2026-08-12,Chanel,100,201786
2026-08-12,Louis Vuitton,100,634894
2026-08-12,Goyard,100,6387
2026-08-12,Dior,100,108753
2026-08-12,Fendi,100,91110
2026-08-12,Cartier,100,78510
2026-08-12,Rolex,100,142155
2026-08-12,The Row,100,5189
2026-08-13,Hermès,100,257056
2026-08-13,Chanel,100,202782
2026-08-13,Louis Vuitton,100,639442
2026-08-13,Goyard,100,6386
2026-08-13,Dior,100,109669
2026-08-13,Fendi,100,91939
2026-08-13,Cartier,100,78743
2026-08-13,Rolex,100,142652
2026-08-13,The Row,100,5251
2026-08-14,Hermès,100,262001
2026-08-14,Chanel,100,203621
2026-08-14,Louis Vuitton,100,641545
2026-08-14,Goyard,100,6496
2026-08-14,Dior,100,111452
2026-08-14,Fendi,100,92566
2026-08-14,Cartier,100,79643
2026-08-14,Rolex,100,140444
2026-08-14,The Row,100,5301
2026-08-15,Hermès,100,260359
2026-08-15,Chanel,100,203257
2026-08-15,Louis Vuitton,100,643051
2026-08-15,Goyard,100,6411
2026-08-15,Dior,100,110979
2026-08-15,Fendi,100,91717
2026-08-15,Cartier,100,79439
2026-08-15,Rolex,100,140288
2026-08-15,The Row,100,5370
2026-08-16,Hermès,100,261143
2026-08-16,Chanel,100,204132
2026-08-16,Louis Vuitton,100,650522
2026-08-16,Goyard,100,6428
2026-08-16,Dior,100,113533
2026-08-16,Fendi,100,91587
2026-08-16,Cartier,100,79752
2026-08-16,Rolex,100,139559
2026-08-16,The Row,100,5446
2026-08-17,Hermès,100,261808
2026-08-17,Chanel,100,203794
2026-08-17,Louis Vuitton,100,652846
2026-08-17,Goyard,100,6505
2026-08-17,Dior,100,112458
