date,brand,segment,listings_all,listings_segment,p10_price,median_price,p90_price,mean_price,legacy_low_price
2026-08-04,Hermès,All categories,2778,,,,,,95
2026-08-04,Chanel,All categories,7084,,,,,,125
2026-08-04,Louis Vuitton,All categories,7904,,,,,,115
2026-08-04,Goyard,All categories,343,,,,,,225
2026-08-04,Dior,All categories,1194,,,,,,150
2026-08-04,Fendi,All categories,692,,,,,,65
2026-08-04,The Row,All categories,149,,,,,,685
2026-08-04,Cartier,All categories,476,,,,,,470
2026-08-05,Hermès,All categories,2856,,,,,,95
2026-08-05,Chanel,All categories,7302,,,,,,125
2026-08-05,Louis Vuitton,All categories,8238,,,,,,135
2026-08-05,Goyard,All categories,354,,,,,,225
2026-08-05,Dior,All categories,1240,,,,,,140
2026-08-05,Fendi,All categories,711,,,,,,95
2026-08-05,The Row,All categories,152,,,,,,685
2026-08-05,Cartier,All categories,474,,,,,,470
2026-08-06,Hermès,All categories,2913,,,,,,95
2026-08-06,Chanel,All categories,7362,,,,,,125
2026-08-06,Louis Vuitton,All categories,8239,,,,,,135
2026-08-06,Goyard,All categories,359,,,,,,225
2026-08-06,Dior,All categories,1244,,,,,,140
2026-08-06,Fendi,All categories,716,,,,,,95
2026-08-06,The Row,All categories,153,,,,,,685
2026-08-06,Cartier,All categories,488,,,,,,470
2026-08-07,Hermès,All categories,2981,,,,,,95
2026-08-07,Chanel,All categories,7444,,,,,,125
2026-08-07,Louis Vuitton,All categories,8334,,,,,,135
2026-08-07,Goyard,All categories,370,,,,,,225
2026-08-07,Dior,All categories,1256,,,,,,140
2026-08-07,Fendi,All categories,718,,,,,,95
2026-08-07,The Row,All categories,150,,,,,,685
2026-08-07,Cartier,All categories,524,,,,,,470
2026-08-08,Hermès,All categories,2952,,,,,,95
2026-08-08,Chanel,All categories,7419,,,,,,125
2026-08-08,Louis Vuitton,All categories,8305,,,,,,135
2026-08-08,Goyard,All categories,368,,,,,,235
2026-08-08,Dior,All categories,1237,,,,,,140
2026-08-08,Fendi,All categories,721,,,,,,95
2026-08-08,The Row,All categories,150,,,,,,685
2026-08-08,Cartier,All categories,504,,,,,,445
2026-08-09,Hermès,All categories,2937,,,,,,95
2026-08-09,Chanel,All categories,7326,,,,,,125
2026-08-09,Louis Vuitton,All categories,8183,,,,,,135
2026-08-09,Goyard,All categories,359,,,,,,235
2026-08-09,Dior,All categories,1221,,,,,,140
2026-08-09,Fendi,All categories,708,,,,,,95
2026-08-09,The Row,All categories,147,,,,,,670
2026-08-09,Cartier,All categories,510,,,,,,445
2026-08-10,Hermès,All categories,12,,,,,,495
2026-08-10,Chanel,All categories,41,,,,,,380
2026-08-10,Louis Vuitton,All categories,14,,,,,,695
2026-08-10,Goyard,All categories,0,,,,,,
2026-08-10,Dior,All categories,3,,,,,,325
2026-08-10,Fendi,All categories,1,,,,,,2350
2026-08-10,The Row,All categories,1,,,,,,795
2026-08-10,Cartier,All categories,3,,,,,,1795
2026-08-11,Hermès,All categories,2901,,,,,,75
2026-08-11,Chanel,All categories,7372,,,,,,95
2026-08-11,Louis Vuitton,All categories,8401,,,,,,125
2026-08-11,Goyard,All categories,359,,,,,,235
2026-08-11,Dior,All categories,1210,,,,,,95
2026-08-11,Fendi,All categories,692,,,,,,95
2026-08-11,The Row,All categories,144,,,,,,655
2026-08-11,Cartier,All categories,512,,,,,,445
2026-08-12,Hermès,All categories,2951,,,,,,75
2026-08-12,Chanel,All categories,7566,,,,,,95
2026-08-12,Louis Vuitton,All categories,8698,,,,,,125
2026-08-12,Goyard,All categories,371,,,,,,235
2026-08-12,Dior,All categories,1233,,,,,,95
2026-08-12,Fendi,All categories,721,,,,,,95
2026-08-12,The Row,All categories,151,,,,,,640
2026-08-12,Cartier,All categories,515,,,,,,445
2026-08-13,Hermès,All categories,2890,,,,,,75
2026-08-13,Chanel,All categories,7688,,,,,,95
2026-08-13,Louis Vuitton,All categories,8745,,,,,,125
2026-08-13,Goyard,All categories,380,,,,,,235
2026-08-13,Dior,All categories,1281,,,,,,95
2026-08-13,Fendi,All categories,744,,,,,,95
2026-08-13,The Row,All categories,153,,,,,,625
2026-08-13,Cartier,All categories,512,,,,,,445
2026-08-14,Hermès,All categories,2789,,,,,,75
2026-08-14,Chanel,All categories,7539,,,,,,95
2026-08-14,Louis Vuitton,All categories,8631,,,,,,130
2026-08-14,Goyard,All categories,369,,,,,,235
2026-08-14,Dior,All categories,1264,,,,,,95
2026-08-14,Fendi,All categories,732,,,,,,95
