date,brand,lowest_ask,results,listed
2026-08-05,Goyard,572,1000,40
2026-08-05,Hermès,520,1000,39
2026-08-05,Chanel,36,1000,38
2026-08-05,Louis Vuitton,175,1000,39
2026-08-05,Dior,209,1000,36
2026-08-05,Rolex,4542,14,3
2026-08-05,Cartier,324,1000,11
2026-08-05,Fendi,200,1000,39
2026-08-06,Goyard,534,1000,40
2026-08-06,Hermès,408,1000,39
2026-08-06,Chanel,37,1000,38
2026-08-06,Louis Vuitton,175,1000,39
2026-08-06,Dior,201,1000,36
2026-08-06,Rolex,4538,87,3
2026-08-06,Cartier,324,1000,11
2026-08-06,Fendi,196,1000,39
2026-08-07,Goyard,572,1000,40
2026-08-07,Hermès,520,1000,39
2026-08-07,Chanel,37,1000,39
2026-08-07,Louis Vuitton,175,1000,39
2026-08-07,Dior,201,1000,38
2026-08-07,Rolex,,,0
2026-08-07,Cartier,270,1000,12
2026-08-07,Fendi,196,1000,39
2026-08-08,Goyard,,,0
2026-08-08,Hermès,520,1000,39
2026-08-08,Chanel,37,1000,39
2026-08-08,Louis Vuitton,175,1000,39
2026-08-08,Dior,,,0
2026-08-08,Rolex,4537,14,3
2026-08-08,Cartier,,,0
2026-08-08,Fendi,,,0
2026-08-09,Goyard,,,0
2026-08-09,Hermès,520,1000,37
2026-08-09,Chanel,,,0
2026-08-09,Louis Vuitton,,,0
2026-08-09,Dior,201,1000,38
2026-08-09,Rolex,,,0
2026-08-09,Cartier,,,0
2026-08-09,Fendi,,,0
2026-08-10,Goyard,572,1000,40
2026-08-10,Hermès,520,1000,38
2026-08-10,Chanel,37,1000,39
2026-08-10,Louis Vuitton,,,0
2026-08-10,Dior,212,1000,38
2026-08-10,Rolex,4522,86,3
2026-08-10,Cartier,270,1000,14
2026-08-10,Fendi,200,1000,36
2026-08-11,Goyard,562,1000,40
2026-08-11,Hermès,520,1000,38
2026-08-11,Chanel,37,1000,38
2026-08-11,Louis Vuitton,175,1000,38
2026-08-11,Dior,288,1000,35
2026-08-11,Rolex,4497,14,3
2026-08-11,Cartier,270,1000,15
2026-08-11,Fendi,200,1000,39
2026-08-12,Goyard,560,1000,40
2026-08-12,Hermès,520,1000,38
2026-08-12,Chanel,37,1000,38
2026-08-12,Louis Vuitton,401,1000,38
2026-08-12,Dior,199,1000,38
2026-08-12,Rolex,4492,14,3
2026-08-12,Cartier,270,1000,15
2026-08-12,Fendi,200,1000,39
2026-08-13,Goyard,560,1000,39
2026-08-13,Hermès,520,1000,38
2026-08-13,Chanel,37,1000,38
2026-08-13,Louis Vuitton,401,1000,38
2026-08-13,Dior,288,1000,36
2026-08-13,Rolex,4495,87,3
2026-08-13,Cartier,270,1000,16
2026-08-13,Fendi,200,1000,39
