date,item,seconds
2026-08-04,Dior Saddle bag,97
2026-08-04,Hermès Lima ring,138
2026-08-04,The Row Lambskin Coat,223
2026-08-05,Dior Saddle bag,97
2026-08-05,Hermès Lima ring,138
2026-08-05,The Row Lambskin Coat,223
2026-08-06,Dior Saddle bag,97
2026-08-06,Hermès Lima ring,138
2026-08-06,The Row Lambskin Coat,223
2026-08-07,Dior Saddle bag,97
2026-08-07,Hermès Lima ring,138
2026-08-07,The Row Lambskin Coat,223
2026-08-08,Dior Saddle bag,97
2026-08-08,Hermès Lima ring,138
2026-08-08,The Row Lambskin Coat,223
